Name,F1,Precision,Recall,PSNR
dibco_img0001,0.24340826245443498,0.9846399606782993,0.13886867006342934,0.25831696655589775
dibco_img0002,0.10117874912345143,0.7609241587142139,0.054192302189154384,0.09141806302992375
dibco_img0003,0.36694280526554696,0.8670063011127497,0.23271798193529813,0.35234811705605296
dibco_img0004,0.16398670585749142,0.7683168316831683,0.09178889414598478,0.3088837278913805
dibco_img0005,0.07316428948758584,0.9850640113798008,0.03799308717836177,0.16238401473183955
dibco_img0006,0.466426123038066,0.8507403751233958,0.32128743631166895,0.40332869543137373
dibco_img0007,0.15568275878149154,0.9413506273791061,0.08485842102587565,0.9206446283498727
dibco_img0008,0.24151099370119775,0.9483452120527839,0.13837520593080724,0.6981650832243753
dibco_img0009,0.3148112434308857,0.937473079684135,0.18916765651707854,0.3910995646954884
dibco_img0010,0.30645586297760213,0.6381782015227382,0.20164279057671053,0.6222797415053242
